id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
404,826,Goods vehicle over 7.5t,Unknown,0,Unknown
405,826,Goods vehicle over 7.5t,Turning left,0,Unknown
406,826,Goods vehicle - unknown weight,Going ahead,1,Unknown
407,826,Car,Turning right,0,Gas/Bi-fuel
408,826,Car,Unknown,,Hybrid electric
409,826,Motorcycle 125cc and under,Moving off,0,Unknown
410,826,Car,Going ahead,5,Petrol
411,826,Car,Moving off,,Heavy oil
412,826,Goods vehicle - unknown weight,Slowing or stopping,0,Heavy oil
413,826,Goods vehicle - unknown weight,Moving off,1,Heavy oil
414,826,Car,Going ahead,0,Gas/Bi-fuel
415,826,Car,Changing lane to left,0,Gas/Bi-fuel
416,826,Goods vehicle over 3.5t and up to 7.5t,Going ahead,4,Heavy oil
417,826,Taxi/Private hire car,U-turn,0,Petrol
418,826,Minibus (8-16 passenger seats),Slowing or stopping,0,Unknown
419,826,Other vehicle,Unknown,0,Heavy oil
420,826,Other vehicle,Waiting to turn right,0,Heavy oil
421,826,Van/Goods vehicle 3.5t and under,Turning left,4,Heavy oil
422,826,Goods vehicle over 3.5t and up to 7.5t,Slowing or stopping,0,Unknown
423,826,Van/Goods vehicle 3.5t and under,Unknown,9,Unknown
424,826,Motorcycle over 125cc and up to 500cc,Going ahead,0,Unknown
425,826,Van/Goods vehicle 3.5t and under,Reversing,0,Unknown
426,826,Goods vehicle over 3.5t and up to 7.5t,Moving off,0,Unknown
427,826,Van/Goods vehicle 3.5t and under,Waiting to go ahead,1,Heavy oil
428,826,Van/Goods vehicle 3.5t and under,Turning right,0,Unknown
429,826,Motorcycle 50cc and under,Overtaking on nearside,0,Electric
430,826,Motorcycle 50cc and under,Turning left,0,Electric
431,826,Goods vehicle over 3.5t and up to 7.5t,Changing lane to right,4,Heavy oil
432,826,Bus or coach (17+ passenger seats),Slowing or stopping,0,Electric
433,826,Motorcycle 50cc and under,Unknown,,Petrol
434,826,Motorcycle 50cc and under,Overtaking on nearside,0,Petrol
435,826,Motorcycle over 500cc,Reversing,0,Petrol
